Brand_Name,How_Many_Sold,Current_Price,Product_details,RATING
ASIAN,"2,242","₹1,098","Oxygen-01 Sports Running,Walking & Gym Shoes with Oxygen Technology Lightweight Casual Sneaker Shoes for Men's & Boy's  ",3.8
ASIAN,240,₹674,"Men's Express-08 Sports Running,Walking,Gym,Training,Casual Sneaker Lace-Up Lightweight Shoes for Men's & Boy's  ",4.0
ASIAN,"16,662",₹588,"Men's Cosko Sports Running,Walking,Gym,Training Sneaker Lace-Up Shoes for Men's & Boy's  ",3.8
ASIAN,135,₹599,"Wind-03 Sports Running,Walking & Gym Shoes with Eva Sole Casual Lightweight Slip-On Shoes for Men's & Boy's  ",4.0
Reebok,240,₹982,Men's Velocity Runner Lp Running Shoe  ,4.0
Puma,455,,Men's Softride Enzo Nxt Walking Shoe  ,4.6
ASIAN,"72,611",₹498,Men's Wonder-13 Sports Running Shoes  ,4.0
Generic,84,₹298,Men's Mesh Lace-Ups Running/Walking/Gym/Sports Fashion Shoes  ,2.4
Sparx,"1,795",₹880,Men's Sm-677 Running Shoe  ,4.0
Generic,309,₹439,B.R.K. Men's Denim Casual Shoe  ,3.6
Reebok,"2,144","₹1,005",Men's Stride Runner Shoes  ,4.2
Campus,12,₹780,Men's Harrow PRO Running Shoes  ,4.0
road runner,421,₹499,Men's Sneaker Shoes  ,3.2
Corstyle,7,₹579,Light Weight Sports Outdoors Casual Canvas Sneakers Gyming Walking Training Running Shoes for Men  ,3.4
Campus,245,₹702,Men's Brazil PRO Running Shoes  ,4.2
Sparx,60,"₹1,279",Men SM-661 Sports Shoes  ,3.8
Sparx,173,"₹1,199",Men's Sm-680 Running Shoe  ,4.2
Sparx,112,,Men's Shoes Running  ,4.0
D Shoes,"1,490",₹649,Sports Running Shoes for Men's  ,3.6
Kraasa,"6,159",₹399,Men SocksFit Walking and Running Shoes  ,3.6
ASIAN,"7,712",₹524,"Men's Century-12 Sports Running Shoes Walking,Gym Casual Sneakers Lace-Up Lightweight Shoes for Men's & Boy's  ",3.8
Campus,"4,583","₹1,399",Mens First Running Shoe  ,4.0
Campus,706,"₹1,399",Men's Mike (N) Running Shoes  ,4.0
Reebok,146,"₹1,282",Men's Top Speed Xtreme Running Shoes  ,3.8
Campus,"1,060",₹590,Men's Wells Running Shoes  ,4.2
ASIAN,"2,076",₹499,Plasma-08 Sports Running Shoes for Men's  ,3.6
Campus,382,₹722,Men's S-Cross PRO Walking Shoes  ,4.2
Campus,216,"₹1,080",Men's Tormentor Running Shoes  ,4.0
Sparx,"38,839",₹637,Men's Sd0323g Sneakers  ,4.2
ASIAN,392,₹774,"Delta-20 Sports Running,Walking & Gym Shoes with Eva Sole Extra Jump Casual Sneaker Lightweight Shoes for Men's & Boy's  ",4.0
Kraasa,843,₹532,Tesla-44 Running Shoes for Men  ,3.6
Adidas,"4,992","₹1,485",Men's Yking 2.0 Running Shoes  ,4.2
ASIAN,240,₹674,"Men's Express-08 Sports Running,Walking,Gym,Training,Casual Sneaker Lace-Up Lightweight Shoes for Men's & Boy's  ",4.0
Reebok,277,"₹1,282",Men's Stride Walker Walking Shoe  ,4.0
Axter,350,₹231,"Men-9064 Grey Top Best Rates,Sports Shoes,Running Shoes,Trekking Shoes, Comfortable for Men's  ",3.0
Centrino,682,₹759,5631 Casual-Men's Shoes  ,3.8
Sparx,"3,532","₹1,231",Men's Running Shoes  ,4.4
Sparx,"1,072",₹849,Mens Sm-648 Sports Shoes  ,4.2
Campus,658,₹900,Men's Trophy Running Shoes  ,4.0
Generic,112,₹298,"Sports Fahion Shoes for Men, Gym, Running, Sports  ",2.8
BATA,812,₹799,Men's Formal Lace Up Office Wear Shoes  ,3.8
Robbie jones,317,₹499,Casual Sneakers Canvas Outwear Shoes for Men in Black Red Yellow  ,2.8
Reebok,307,"₹1,282",Men's Jung 21 W Running Shoes  ,3.6
BATA,"3,448",₹799,Men's Formal Dress Slip On Shoes  ,4.0
Campus,"5,690",₹901,Mens Stonic Running Shoes  ,4.0
BATA,"1,685",₹899,Men's Formal Shoes  ,4.0
Bourge,"18,747",₹699,Men's Loire-z1 Running Shoes  ,4.0
Campus,998,₹900,Men's Oslo PRO Running Shoes  ,4.0
Campus,165,₹779,Men's Bull PRO Running Shoes  ,4.2
ASIAN,83,₹698,Men's Hattrick-27 Sports Shoes for Men | Running Shoes for Men Stylish Casual Sneakers for Men | Lace up Lightweight Shoes for Gym  ,3.8
Adidas,206,"₹2,159",Men's Skadi Shoes  ,4.4
Nivia,954,₹855,Men Flash Badminton Shoes  ,4.0
ASIAN,860,₹598,"Men's Waterproof-05 White Sports Latest Stylish Casual Sneakers,Lace up Lightweight Shoes for Running, Walking, Gym  ",3.4
ASIAN,102,"₹1,173","Men's INNOVA-04 Sports Running,Walking & Gym Shoes with Max Cushion Technology Casual Sneaker Shoes for Men's & Boy's  ",3.8
Adidas,116,"₹2,008",Men's Turbo Glide M Leather Running Shoe  ,4.0
Campus,198,₹623,Men's HARVEL PRO Running Shoes  ,4.0
Wakefield,49,₹399,Stylish Running Sports Shoes for MEN-2010  ,3.4
URJO,557,₹839,Mens Running Shoes  ,4.2
FEETEES,63,₹349,Nexon Men's Casual Eva Socks Knitted Running Shoes | Color-Light Grey  ,3.6
FURO,2,"₹1,299",Low Ankle Running Sports Shoes for Men (O-5033)  ,3.0
ASIAN,"2,242","₹1,098","Oxygen-01 Sports Running,Walking & Gym Shoes with Oxygen Technology Lightweight Casual Sneaker Shoes for Men's & Boy's  ",3.8
ASIAN,240,₹674,"Men's Express-08 Sports Running,Walking,Gym,Training,Casual Sneaker Lace-Up Lightweight Shoes for Men's & Boy's  ",4.0
ASIAN,"16,662",₹588,"Men's Cosko Sports Running,Walking,Gym,Training Sneaker Lace-Up Shoes for Men's & Boy's  ",3.8
ASIAN,135,₹599,"Wind-03 Sports Running,Walking & Gym Shoes with Eva Sole Casual Lightweight Slip-On Shoes for Men's & Boy's  ",4.0
Reebok,240,₹982,Men's Velocity Runner Lp Running Shoe  ,4.0
Puma,455,,Men's Softride Enzo Nxt Walking Shoe  ,4.6
ASIAN,"72,611",₹498,Men's Wonder-13 Sports Running Shoes  ,4.0
Generic,84,₹298,Men's Mesh Lace-Ups Running/Walking/Gym/Sports Fashion Shoes  ,2.4
Sparx,"1,795",₹880,Men's Sm-677 Running Shoe  ,4.0
Generic,309,₹439,B.R.K. Men's Denim Casual Shoe  ,3.6
Reebok,"2,144","₹1,005",Men's Stride Runner Shoes  ,4.2
Campus,12,₹780,Men's Harrow PRO Running Shoes  ,4.0
road runner,421,₹499,Men's Sneaker Shoes  ,3.2
Corstyle,7,₹579,Light Weight Sports Outdoors Casual Canvas Sneakers Gyming Walking Training Running Shoes for Men  ,3.4
Campus,245,₹702,Men's Brazil PRO Running Shoes  ,4.2
Sparx,60,"₹1,279",Men SM-661 Sports Shoes  ,3.8
Sparx,173,"₹1,199",Men's Sm-680 Running Shoe  ,4.2
Sparx,112,,Men's Shoes Running  ,4.0
D Shoes,"1,490",₹649,Sports Running Shoes for Men's  ,3.6
Kraasa,"6,159",₹399,Men SocksFit Walking and Running Shoes  ,3.6
ASIAN,"7,712",₹524,"Men's Century-12 Sports Running Shoes Walking,Gym Casual Sneakers Lace-Up Lightweight Shoes for Men's & Boy's  ",3.8
Campus,"4,583","₹1,399",Mens First Running Shoe  ,4.0
Campus,706,"₹1,399",Men's Mike (N) Running Shoes  ,4.0
Reebok,146,"₹1,282",Men's Top Speed Xtreme Running Shoes  ,3.8
Campus,"1,060",₹590,Men's Wells Running Shoes  ,4.2
ASIAN,"2,076",₹499,Plasma-08 Sports Running Shoes for Men's  ,3.6
Campus,382,₹722,Men's S-Cross PRO Walking Shoes  ,4.2
Campus,216,"₹1,080",Men's Tormentor Running Shoes  ,4.0
Sparx,"38,839",₹637,Men's Sd0323g Sneakers  ,4.2
ASIAN,392,₹774,"Delta-20 Sports Running,Walking & Gym Shoes with Eva Sole Extra Jump Casual Sneaker Lightweight Shoes for Men's & Boy's  ",4.0
Kraasa,843,₹532,Tesla-44 Running Shoes for Men  ,3.6
Adidas,"4,992","₹1,485",Men's Yking 2.0 Running Shoes  ,4.2
ASIAN,240,₹674,"Men's Express-08 Sports Running,Walking,Gym,Training,Casual Sneaker Lace-Up Lightweight Shoes for Men's & Boy's  ",4.0
Reebok,277,"₹1,282",Men's Stride Walker Walking Shoe  ,4.0
Axter,350,₹231,"Men-9064 Grey Top Best Rates,Sports Shoes,Running Shoes,Trekking Shoes, Comfortable for Men's  ",3.0
Centrino,682,₹759,5631 Casual-Men's Shoes  ,3.8
Sparx,"3,532","₹1,231",Men's Running Shoes  ,4.4
Sparx,"1,072",₹849,Mens Sm-648 Sports Shoes  ,4.2
Campus,658,₹900,Men's Trophy Running Shoes  ,4.0
Generic,112,₹298,"Sports Fahion Shoes for Men, Gym, Running, Sports  ",2.8
BATA,812,₹799,Men's Formal Lace Up Office Wear Shoes  ,3.8
Robbie jones,317,₹499,Casual Sneakers Canvas Outwear Shoes for Men in Black Red Yellow  ,2.8
Reebok,307,"₹1,282",Men's Jung 21 W Running Shoes  ,3.6
BATA,"3,448",₹799,Men's Formal Dress Slip On Shoes  ,4.0
Campus,"5,690",₹901,Mens Stonic Running Shoes  ,4.0
BATA,"1,685",₹899,Men's Formal Shoes  ,4.0
Bourge,"18,747",₹699,Men's Loire-z1 Running Shoes  ,4.0
Campus,998,₹900,Men's Oslo PRO Running Shoes  ,4.0
Campus,165,₹779,Men's Bull PRO Running Shoes  ,4.2
ASIAN,83,₹698,Men's Hattrick-27 Sports Shoes for Men | Running Shoes for Men Stylish Casual Sneakers for Men | Lace up Lightweight Shoes for Gym  ,3.8
Adidas,206,"₹2,159",Men's Skadi Shoes  ,4.4
Nivia,954,₹855,Men Flash Badminton Shoes  ,4.0
ASIAN,860,₹598,"Men's Waterproof-05 White Sports Latest Stylish Casual Sneakers,Lace up Lightweight Shoes for Running, Walking, Gym  ",3.4
ASIAN,102,"₹1,173","Men's INNOVA-04 Sports Running,Walking & Gym Shoes with Max Cushion Technology Casual Sneaker Shoes for Men's & Boy's  ",3.8
Adidas,116,"₹2,008",Men's Turbo Glide M Leather Running Shoe  ,4.0
Campus,198,₹623,Men's HARVEL PRO Running Shoes  ,4.0
Wakefield,49,₹399,Stylish Running Sports Shoes for MEN-2010  ,3.4
URJO,557,₹839,Mens Running Shoes  ,4.2
FEETEES,63,₹349,Nexon Men's Casual Eva Socks Knitted Running Shoes | Color-Light Grey  ,3.6
FURO,2,"₹1,299",Low Ankle Running Sports Shoes for Men (O-5033)  ,3.0
ASIAN,"2,242","₹1,098","Oxygen-01 Sports Running,Walking & Gym Shoes with Oxygen Technology Lightweight Casual Sneaker Shoes for Men's & Boy's  ",3.8
ASIAN,240,₹674,"Men's Express-08 Sports Running,Walking,Gym,Training,Casual Sneaker Lace-Up Lightweight Shoes for Men's & Boy's  ",4.0
ASIAN,"16,662",₹588,"Men's Cosko Sports Running,Walking,Gym,Training Sneaker Lace-Up Shoes for Men's & Boy's  ",3.8
ASIAN,135,₹599,"Wind-03 Sports Running,Walking & Gym Shoes with Eva Sole Casual Lightweight Slip-On Shoes for Men's & Boy's  ",4.0
Reebok,240,₹982,Men's Velocity Runner Lp Running Shoe  ,4.0
Puma,455,,Men's Softride Enzo Nxt Walking Shoe  ,4.6
ASIAN,"72,611",₹498,Men's Wonder-13 Sports Running Shoes  ,4.0
Generic,84,₹298,Men's Mesh Lace-Ups Running/Walking/Gym/Sports Fashion Shoes  ,2.4
Sparx,"1,795",₹880,Men's Sm-677 Running Shoe  ,4.0
Generic,309,₹439,B.R.K. Men's Denim Casual Shoe  ,3.6
Reebok,"2,144","₹1,005",Men's Stride Runner Shoes  ,4.2
Campus,12,₹780,Men's Harrow PRO Running Shoes  ,4.0
road runner,421,₹499,Men's Sneaker Shoes  ,3.2
Corstyle,7,₹579,Light Weight Sports Outdoors Casual Canvas Sneakers Gyming Walking Training Running Shoes for Men  ,3.4
Campus,245,₹702,Men's Brazil PRO Running Shoes  ,4.2
Sparx,60,"₹1,279",Men SM-661 Sports Shoes  ,3.8
Sparx,173,"₹1,199",Men's Sm-680 Running Shoe  ,4.2
Sparx,112,,Men's Shoes Running  ,4.0
D Shoes,"1,490",₹649,Sports Running Shoes for Men's  ,3.6
Kraasa,"6,159",₹399,Men SocksFit Walking and Running Shoes  ,3.6
ASIAN,"7,712",₹524,"Men's Century-12 Sports Running Shoes Walking,Gym Casual Sneakers Lace-Up Lightweight Shoes for Men's & Boy's  ",3.8
Campus,"4,583","₹1,399",Mens First Running Shoe  ,4.0
Campus,706,"₹1,399",Men's Mike (N) Running Shoes  ,4.0
Reebok,146,"₹1,282",Men's Top Speed Xtreme Running Shoes  ,3.8
Campus,"1,060",₹590,Men's Wells Running Shoes  ,4.2
ASIAN,"2,076",₹499,Plasma-08 Sports Running Shoes for Men's  ,3.6
Campus,382,₹722,Men's S-Cross PRO Walking Shoes  ,4.2
Campus,216,"₹1,080",Men's Tormentor Running Shoes  ,4.0
Sparx,"38,839",₹637,Men's Sd0323g Sneakers  ,4.2
ASIAN,392,₹774,"Delta-20 Sports Running,Walking & Gym Shoes with Eva Sole Extra Jump Casual Sneaker Lightweight Shoes for Men's & Boy's  ",4.0
Kraasa,843,₹532,Tesla-44 Running Shoes for Men  ,3.6
Adidas,"4,992","₹1,485",Men's Yking 2.0 Running Shoes  ,4.2
ASIAN,240,₹674,"Men's Express-08 Sports Running,Walking,Gym,Training,Casual Sneaker Lace-Up Lightweight Shoes for Men's & Boy's  ",4.0
Reebok,277,"₹1,282",Men's Stride Walker Walking Shoe  ,4.0
Axter,350,₹231,"Men-9064 Grey Top Best Rates,Sports Shoes,Running Shoes,Trekking Shoes, Comfortable for Men's  ",3.0
Centrino,682,₹759,5631 Casual-Men's Shoes  ,3.8
Sparx,"3,532","₹1,231",Men's Running Shoes  ,4.4
Sparx,"1,072",₹849,Mens Sm-648 Sports Shoes  ,4.2
Campus,658,₹900,Men's Trophy Running Shoes  ,4.0
Generic,112,₹298,"Sports Fahion Shoes for Men, Gym, Running, Sports  ",2.8
BATA,812,₹799,Men's Formal Lace Up Office Wear Shoes  ,3.8
Robbie jones,317,₹499,Casual Sneakers Canvas Outwear Shoes for Men in Black Red Yellow  ,2.8
Reebok,307,"₹1,282",Men's Jung 21 W Running Shoes  ,3.6
BATA,"3,448",₹799,Men's Formal Dress Slip On Shoes  ,4.0
Campus,"5,690",₹901,Mens Stonic Running Shoes  ,4.0
BATA,"1,685",₹899,Men's Formal Shoes  ,4.0
Bourge,"18,747",₹699,Men's Loire-z1 Running Shoes  ,4.0
Campus,998,₹900,Men's Oslo PRO Running Shoes  ,4.0
Campus,165,₹779,Men's Bull PRO Running Shoes  ,4.2
